Sport_Product,Geo_Code,Country,Year,Amt_Import,Amt_Export
BALL,CY,Cyprus,2009,"781,000",
BALL,CY,Cyprus,2010,"749,000",
BALL,CY,Cyprus,2011,"914,000","41,000"
BALL,CY,Cyprus,2012,"586,000","11,000"
BALL,CY,Cyprus,2013,"474,000","16,000"
BALL,CY,Cyprus,2014,"507,000","2,000"
BALL,CY,Cyprus,2015,"399,000","3,000"
BALL,CZ,Czech Republic,2000,"5,958,000","2,353,000"
BALL,CZ,Czech Republic,2001,"4,796,000","2,806,000"
BALL,CZ,Czech Republic,2002,"4,830,000","3,157,000"
BALL,CZ,Czech Republic,2003,"5,404,000","2,657,000"
BALL,CZ,Czech Republic,2004,"7,321,000","4,321,000"
BALL,CZ,Czech Republic,2005,"6,781,000","4,192,000"
BALL,CZ,Czech Republic,2006,"9,237,000","5,513,000"
BALL,CZ,Czech Republic,2007,"7,458,000","2,863,000"
BALL,CZ,Czech Republic,2008,"9,268,000","3,370,000"
BALL,CZ,Czech Republic,2009,"6,834,000","2,217,000"
BALL,CZ,Czech Republic,2010,"7,939,000","1,873,000"
BALL,CZ,Czech Republic,2011,"7,599,000","1,551,000"
BALL,CZ,Czech Republic,2012,"6,698,000","1,761,000"
BALL,CZ,Czech Republic,2013,"7,316,000","1,415,000"
BALL,CZ,Czech Republic,2014,"8,451,000","1,659,000"
BALL,CZ,Czech Republic,2015,"8,714,000","2,482,000"
BALL,DE,Germany,2000,"55,784,000","25,914,000"
BALL,DE,Germany,2001,"53,295,000","26,133,000"
BALL,DE,Germany,2002,"61,383,000","31,275,000"
BALL,DE,Germany,2003,"91,435,000","33,848,000"
BALL,DE,Germany,2004,"72,267,000","36,263,000"
BALL,DE,Germany,2005,"82,619,000","36,674,000"
BALL,DE,Germany,2006,"107,827,000","50,460,000"
BALL,DE,Germany,2007,"79,468,000","47,215,000"
BALL,DE,Germany,2008,"92,999,000","61,964,000"
BALL,DE,Germany,2009,"79,066,000","47,531,000"
BALL,DE,Germany,2010,"90,930,000","112,321,000"
BALL,DE,Germany,2011,"88,235,000","88,800,000"
BALL,DE,Germany,2012,"104,989,000","65,551,000"
BALL,DE,Germany,2013,"92,049,000","74,034,000"
BALL,DE,Germany,2014,"109,026,000","92,404,000"
BALL,DE,Germany,2015,"117,537,000","89,617,000"
BALL,DK,Denmark,2000,"11,105,000","6,830,000"
BALL,DK,Denmark,2001,"10,121,000","5,089,000"
BALL,DK,Denmark,2002,"12,356,000","5,170,000"
BALL,DK,Denmark,2003,"12,942,000","5,618,000"
BALL,DK,Denmark,2004,"13,514,000","6,702,000"
BALL,DK,Denmark,2005,"12,607,000","6,518,000"
BALL,DK,Denmark,2006,"13,288,000","6,429,000"
BALL,DK,Denmark,2007,"14,474,000","9,912,000"
BALL,DK,Denmark,2008,"14,433,000","10,858,000"
BALL,DK,Denmark,2009,"15,066,000","7,771,000"
BALL,DK,Denmark,2010,"13,753,000","10,458,000"
BALL,DK,Denmark,2011,"13,665,000","11,692,000"
BALL,DK,Denmark,2012,"18,320,000","14,739,000"
BALL,DK,Denmark,2013,"16,531,000","13,610,000"
BALL,DK,Denmark,2014,"16,701,000","12,352,000"
BALL,DK,Denmark,2015,"20,531,000","14,083,000"
BALL,EE,Estonia,2000,"534,000","172,000"
BALL,EE,Estonia,2001,"528,000","494,000"
BALL,EE,Estonia,2002,"606,000","369,000"
BALL,EE,Estonia,2003,"573,000","300,000"
BALL,EE,Estonia,2004,"651,000","380,000"
BALL,EE,Estonia,2005,"581,000","180,000"
BALL,EE,Estonia,2006,"526,000","212,000"
BALL,EE,Estonia,2007,"504,000","173,000"
BALL,EE,Estonia,2008,"694,000","183,000"
BALL,EE,Estonia,2009,"370,000","129,000"
BALL,EE,Estonia,2010,"563,000","65,000"
BALL,EE,Estonia,2011,"547,000","155,000"
BALL,EE,Estonia,2012,"1,130,000","527,000"
BALL,EE,Estonia,2013,"867,000","411,000"
BALL,EE,Estonia,2014,"788,000","196,000"
BALL,EE,Estonia,2015,"786,000","174,000"
BALL,EL,Greece,2000,"5,380,000","212,000"
BALL,EL,Greece,2001,"4,376,000","304,000"
BALL,EL,Greece,2002,"5,461,000","338,000"
BALL,EL,Greece,2003,"6,228,000","406,000"
BALL,EL,Greece,2004,"6,424,000","565,000"
BALL,EL,Greece,2005,"6,300,000","620,000"
BALL,EL,Greece,2006,"8,852,000","745,000"
BALL,EL,Greece,2007,"9,313,000","1,105,000"
BALL,EL,Greece,2008,"10,361,000","2,021,000"
BALL,EL,Greece,2009,"9,161,000","1,685,000"
BALL,EL,Greece,2010,"7,840,000","1,644,000"
BALL,EL,Greece,2011,"5,320,000","1,111,000"
BALL,EL,Greece,2012,"5,651,000","1,247,000"
BALL,EL,Greece,2013,"6,853,000","1,234,000"
BALL,EL,Greece,2014,"7,967,000","1,224,000"
BALL,EL,Greece,2015,"7,457,000","1,020,000"
BALL,ES,Spain,2000,"24,242,000","7,830,000"
BALL,ES,Spain,2001,"24,144,000","6,443,000"
BALL,ES,Spain,2002,"25,607,000","8,622,000"
BALL,ES,Spain,2003,"26,453,000","6,885,000"
BALL,ES,Spain,2004,"31,686,000","9,620,000"
BALL,ES,Spain,2005,"29,674,000","9,094,000"
BALL,ES,Spain,2006,"39,203,000","10,881,000"
BALL,ES,Spain,2007,"35,344,000","12,606,000"
BALL,ES,Spain,2008,"39,799,000","12,551,000"
BALL,ES,Spain,2009,"29,723,000","10,234,000"
BALL,ES,Spain,2010,"39,771,000","10,998,000"
BALL,ES,Spain,2011,"36,844,000","13,990,000"
BALL,ES,Spain,2012,"41,655,000","20,005,000"
BALL,ES,Spain,2013,"39,638,000","19,030,000"
BALL,ES,Spain,2014,"50,735,000","20,168,000"
BALL,ES,Spain,2015,"46,285,000","18,343,000"
BALL,FI,Finland,2000,"3,376,000","241,000"
BALL,FI,Finland,2001,"3,485,000","251,000"
BALL,FI,Finland,2002,"4,230,000","284,000"
BALL,FI,Finland,2003,"4,009,000","375,000"
BALL,FI,Finland,2004,"3,844,000","815,000"
BALL,FI,Finland,2005,"3,348,000","478,000"
BALL,FI,Finland,2006,"4,391,000","514,000"
BALL,FI,Finland,2007,"4,318,000","499,000"
BALL,FI,Finland,2008,"4,802,000","583,000"
BALL,FI,Finland,2009,"4,572,000","324,000"
BALL,FI,Finland,2010,"4,296,000","315,000"
BALL,FI,Finland,2011,"4,908,000","275,000"
BALL,FI,Finland,2012,"4,845,000","301,000"
BALL,FI,Finland,2013,"4,484,000","398,000"
BALL,FI,Finland,2014,"5,212,000","430,000"
BALL,FI,Finland,2015,"5,715,000","345,000"
BALL,FR,France,2000,"48,673,000","9,393,000"
BALL,FR,France,2001,"49,338,000","7,092,000"
BALL,FR,France,2002,"55,438,000","10,969,000"
BALL,FR,France,2003,"54,715,000","10,532,000"
BALL,FR,France,2004,"57,856,000","13,850,000"
BALL,FR,France,2005,"56,107,000","17,426,000"
BALL,FR,France,2006,"65,419,000","18,978,000"
BALL,FR,France,2007,"70,277,000","20,798,000"
BALL,FR,France,2008,"61,632,000","19,334,000"
BALL,FR,France,2009,"60,068,000","22,001,000"
BALL,FR,France,2010,"68,562,000","25,034,000"
BALL,FR,France,2011,"71,313,000","25,090,000"
BALL,FR,France,2012,"76,887,000","27,345,000"
BALL,FR,France,2013,"73,342,000","25,719,000"
BALL,FR,France,2014,"85,108,000","29,572,000"
BALL,FR,France,2015,"92,313,000","36,242,000"
BALL,HR,Croatia,2000,"1,519,000","32,000"
BALL,HR,Croatia,2001,"1,459,000","31,000"
BALL,HR,Croatia,2002,"2,447,000","64,000"
BALL,HR,Croatia,2003,"2,469,000","90,000"
BALL,HR,Croatia,2004,"2,697,000","77,000"
BALL,HR,Croatia,2005,"3,064,000","58,000"
BALL,HR,Croatia,2006,"3,624,000","191,000"
BALL,HR,Croatia,2007,"3,391,000","162,000"
BALL,HR,Croatia,2008,"4,879,000","333,000"
BALL,HR,Croatia,2009,"3,017,000","150,000"
BALL,HR,Croatia,2010,"3,048,000","260,000"
BALL,HR,Croatia,2011,"2,607,000","297,000"
BALL,HR,Croatia,2012,"3,118,000","294,000"
BALL,HR,Croatia,2013,"2,886,000","292,000"
BALL,HR,Croatia,2014,"3,649,000","468,000"
BALL,HR,Croatia,2015,"4,246,000","683,000"
BALL,HU,Hungary,2000,"2,706,000","563,000"
BALL,HU,Hungary,2001,"3,297,000","774,000"
BALL,HU,Hungary,2002,"3,931,000","839,000"
BALL,HU,Hungary,2003,"3,526,000","741,000"
BALL,HU,Hungary,2004,"3,200,000","795,000"
BALL,HU,Hungary,2005,"3,048,000","771,000"
BALL,HU,Hungary,2006,"4,905,000","1,790,000"
BALL,HU,Hungary,2007,"5,320,000","2,585,000"
BALL,HU,Hungary,2008,"5,375,000","1,565,000"
BALL,HU,Hungary,2009,"3,993,000","840,000"
BALL,HU,Hungary,2010,"5,608,000","1,809,000"
BALL,HU,Hungary,2011,"3,741,000","1,505,000"
BALL,HU,Hungary,2012,"4,215,000","1,642,000"
BALL,HU,Hungary,2013,"5,087,000","2,022,000"
BALL,HU,Hungary,2014,"6,490,000","2,214,000"
BALL,HU,Hungary,2015,"6,009,000","2,518,000"
BALL,IE,Ireland,2000,"5,634,000","22,785,000"
BALL,IE,Ireland,2001,"4,853,000","24,118,000"
BALL,IE,Ireland,2002,"6,204,000","23,649,000"
BALL,IE,Ireland,2003,"5,178,000","19,786,000"
BALL,IE,Ireland,2004,"5,201,000","10,903,000"
BALL,IE,Ireland,2005,"7,633,000","1,602,000"
BALL,IE,Ireland,2006,"9,439,000","2,085,000"
BALL,IE,Ireland,2007,"9,204,000","2,074,000"
BALL,IE,Ireland,2008,"9,652,000","1,720,000"
BALL,IE,Ireland,2009,"8,403,000","1,777,000"
BALL,IE,Ireland,2010,"9,464,000","2,188,000"
BALL,IE,Ireland,2011,"7,220,000","1,954,000"
BALL,IE,Ireland,2012,"6,897,000","2,226,000"
BALL,IE,Ireland,2013,"5,318,000","2,031,000"
BALL,IE,Ireland,2014,"6,915,000","2,150,000"
BALL,IE,Ireland,2015,"8,489,000","2,328,000"
BALL,IS,Iceland,2000,"479,000",
BALL,IS,Iceland,2001,"406,000",
BALL,IS,Iceland,2002,"611,000",
BALL,IS,Iceland,2003,"563,000",
BALL,IS,Iceland,2004,"786,000",0
BALL,IS,Iceland,2005,"661,000",
BALL,IS,Iceland,2006,"899,000",0
BALL,IS,Iceland,2007,"727,000","4,000"
BALL,IS,Iceland,2008,"610,000",
BALL,IS,Iceland,2009,"507,000","4,000"
BALL,IS,Iceland,2010,"588,000",0
BALL,IS,Iceland,2011,"570,000","3,000"
BALL,IS,Iceland,2012,"580,000",
BALL,IS,Iceland,2013,"447,000",
BALL,IS,Iceland,2014,"620,000",
BALL,IS,Iceland,2015,"724,000",
BALL,IT,Italy,2000,"28,010,000","23,791,000"
BALL,IT,Italy,2001,"25,228,000","27,363,000"
BALL,IT,Italy,2002,"30,614,000","25,989,000"
BALL,IT,Italy,2003,"29,570,000","21,257,000"
BALL,IT,Italy,2004,"32,296,000","21,380,000"
BALL,IT,Italy,2005,"32,418,000","21,548,000"
BALL,IT,Italy,2006,"38,813,000","29,979,000"
BALL,IT,Italy,2007,"33,446,000","33,055,000"
BALL,IT,Italy,2008,"38,967,000","37,109,000"
BALL,IT,Italy,2009,"33,871,000","27,577,000"
BALL,IT,Italy,2010,"38,157,000","34,867,000"
BALL,IT,Italy,2011,"34,060,000","36,624,000"
BALL,IT,Italy,2012,"35,028,000","39,227,000"
BALL,IT,Italy,2013,"32,205,000","35,196,000"
BALL,IT,Italy,2014,"41,627,000","37,399,000"
BALL,IT,Italy,2015,"39,970,000","38,064,000"
BALL,LT,Lithuania,2000,"835,000","57,000"
BALL,LT,Lithuania,2001,"893,000","25,000"
BALL,LT,Lithuania,2002,"962,000","124,000"
BALL,LT,Lithuania,2003,"856,000","87,000"
BALL,LT,Lithuania,2004,"876,000","74,000"
BALL,LT,Lithuania,2005,"836,000","68,000"
BALL,LT,Lithuania,2006,"1,015,000","74,000"
BALL,LT,Lithuania,2007,"1,199,000","101,000"
BALL,LT,Lithuania,2008,"1,284,000","134,000"
BALL,LT,Lithuania,2009,"906,000","170,000"
BALL,LT,Lithuania,2010,"1,063,000","323,000"
BALL,LT,Lithuania,2011,"1,308,000","400,000"
BALL,LT,Lithuania,2012,"1,081,000","871,000"
BALL,LT,Lithuania,2013,"1,315,000","760,000"
BALL,LT,Lithuania,2014,"1,495,000","611,000"
BALL,LT,Lithuania,2015,"1,397,000","349,000"
BALL,LU,Luxembourg,2000,"499,000","322,000"
BALL,LU,Luxembourg,2001,"621,000","379,000"
BALL,LU,Luxembourg,2002,"660,000","197,000"
BALL,LU,Luxembourg,2003,"452,000","53,000"
BALL,LU,Luxembourg,2004,"918,000","612,000"
BALL,LU,Luxembourg,2005,"999,000","597,000"
BALL,LU,Luxembourg,2006,"1,170,000","923,000"
BALL,LU,Luxembourg,2007,"2,076,000","4,340,000"
BALL,LU,Luxembourg,2008,"1,998,000","4,745,000"
BALL,LU,Luxembourg,2009,"1,965,000","4,607,000"
BALL,LU,Luxembourg,2010,"2,229,000","5,778,000"
BALL,LU,Luxembourg,2011,"1,576,000","5,205,000"
BALL,LU,Luxembourg,2012,"1,763,000","5,065,000"
BALL,LU,Luxembourg,2013,"2,184,000","4,298,000"
BALL,LU,Luxembourg,2014,"1,510,000","4,468,000"
BALL,LU,Luxembourg,2015,"1,354,000","3,641,000"
BALL,LV,Latvia,2000,"521,000","7,000"
BALL,LV,Latvia,2001,"534,000","6,000"
BALL,LV,Latvia,2002,"752,000","11,000"
BALL,LV,Latvia,2003,"679,000","5,000"
BALL,LV,Latvia,2004,"817,000","73,000"
BALL,LV,Latvia,2005,"856,000","193,000"
BALL,LV,Latvia,2006,"1,268,000","164,000"
BALL,LV,Latvia,2007,"1,205,000","175,000"
BALL,LV,Latvia,2008,"1,329,000","177,000"
BALL,LV,Latvia,2009,"736,000","168,000"
BALL,LV,Latvia,2010,"828,000","329,000"
BALL,LV,Latvia,2011,"855,000","150,000"
BALL,LV,Latvia,2012,"901,000","210,000"
BALL,LV,Latvia,2013,"1,426,000","273,000"
BALL,LV,Latvia,2014,"1,193,000","170,000"
BALL,LV,Latvia,2015,"853,000","218,000"
BALL,ME,Montenegro,2000,,
BALL,ME,Montenegro,2001,,
BALL,ME,Montenegro,2002,,
BALL,ME,Montenegro,2003,,
BALL,ME,Montenegro,2004,,
BALL,ME,Montenegro,2005,"140,000","2,000"
BALL,ME,Montenegro,2006,"245,000",
BALL,ME,Montenegro,2007,"341,000",
BALL,ME,Montenegro,2008,"532,000","5,000"
BALL,ME,Montenegro,2009,"290,000","4,000"
BALL,ME,Montenegro,2010,"312,000","3,000"
BALL,ME,Montenegro,2011,"350,000",0
BALL,ME,Montenegro,2012,"483,000","1,000"
BALL,ME,Montenegro,2013,"395,000","21,000"
BALL,ME,Montenegro,2014,,
BALL,ME,Montenegro,2015,"381,000","1,000"
BALL,MK,Former Yugoslav Republic of Macedonia,2000,,
BALL,MK,Former Yugoslav Republic of Macedonia,2001,,
BALL,MK,Former Yugoslav Republic of Macedonia,2002,"115,000","10,000"
BALL,MK,Former Yugoslav Republic of Macedonia,2003,"151,000","16,000"
BALL,MK,Former Yugoslav Republic of Macedonia,2004,"199,000","9,000"
BALL,MK,Former Yugoslav Republic of Macedonia,2005,"292,000","7,000"
BALL,MK,Former Yugoslav Republic of Macedonia,2006,"379,000","2,000"
BALL,MK,Former Yugoslav Republic of Macedonia,2007,"228,000","6,000"
BALL,MK,Former Yugoslav Republic of Macedonia,2008,"313,000","549,000"
BALL,MK,Former Yugoslav Republic of Macedonia,2009,"283,000","303,000"
BALL,MK,Former Yugoslav Republic of Macedonia,2010,"426,000","598,000"
BALL,MK,Former Yugoslav Republic of Macedonia,2011,"317,000","636,000"
BALL,MK,Former Yugoslav Republic of Macedonia,2012,"368,000","530,000"
BALL,MK,Former Yugoslav Republic of Macedonia,2013,"461,000","57,000"
BALL,MK,Former Yugoslav Republic of Macedonia,2014,,
BALL,MK,Former Yugoslav Republic of Macedonia,2015,"506,000","30,000"
BALL,MT,Malta,2000,"210,000",
BALL,MT,Malta,2001,"164,000","1,000"
BALL,MT,Malta,2002,"269,000",0
BALL,MT,Malta,2003,"239,000",
BALL,MT,Malta,2004,"216,000",0
BALL,MT,Malta,2005,"164,000",0
BALL,MT,Malta,2006,"187,000","3,000"
BALL,MT,Malta,2007,"292,000","123,000"
BALL,MT,Malta,2008,"413,000","271,000"
BALL,MT,Malta,2009,"286,000","206,000"
BALL,MT,Malta,2010,"363,000","158,000"
BALL,MT,Malta,2011,"264,000","99,000"
BALL,MT,Malta,2012,"375,000","212,000"
BALL,MT,Malta,2013,"247,000","130,000"
BALL,MT,Malta,2014,"445,000","257,000"
BALL,MT,Malta,2015,"508,000","504,000"
BALL,NL,Netherlands,2000,"34,538,000","31,109,000"
BALL,NL,Netherlands,2001,"25,278,000","32,181,000"
BALL,NL,Netherlands,2002,"26,632,000","40,545,000"
BALL,NL,Netherlands,2003,"36,541,000","77,129,000"
BALL,NL,Netherlands,2004,"40,830,000","67,346,000"
BALL,NL,Netherlands,2005,"65,927,000","67,749,000"
BALL,NL,Netherlands,2006,"75,296,000","78,230,000"
BALL,NL,Netherlands,2007,"53,434,000","55,563,000"
BALL,NL,Netherlands,2008,"56,167,000","45,872,000"
BALL,NL,Netherlands,2009,"38,347,000","33,549,000"
BALL,NL,Netherlands,2010,"55,108,000","38,670,000"
BALL,NL,Netherlands,2011,"36,612,000","25,095,000"
BALL,NL,Netherlands,2012,"54,557,000","37,015,000"
BALL,NL,Netherlands,2013,"45,586,000","30,108,000"
BALL,NL,Netherlands,2014,"55,933,000","38,483,000"
BALL,NL,Netherlands,2015,"52,284,000","30,155,000"
BALL,NO,Norway,2000,"5,072,000","120,000"
BALL,NO,Norway,2001,"4,795,000","85,000"
BALL,NO,Norway,2002,"5,121,000","122,000"
BALL,NO,Norway,2003,"4,758,000","114,000"
BALL,NO,Norway,2004,"5,356,000","160,000"
BALL,NO,Norway,2005,"5,870,000","230,000"
BALL,NO,Norway,2006,"6,721,000","171,000"
BALL,NO,Norway,2007,"6,065,000","216,000"
BALL,NO,Norway,2008,"6,460,000","129,000"
BALL,NO,Norway,2009,"6,389,000","216,000"
BALL,NO,Norway,2010,"6,749,000","200,000"
BALL,NO,Norway,2011,"6,704,000","302,000"
BALL,NO,Norway,2012,"6,863,000","407,000"
BALL,NO,Norway,2013,"6,957,000","632,000"
BALL,NO,Norway,2014,"7,756,000","569,000"
BALL,NO,Norway,2015,,
BALL,PL,Poland,2000,,
BALL,PL,Poland,2001,,
BALL,PL,Poland,2002,,
BALL,PL,Poland,2003,,
BALL,PL,Poland,2004,"7,340,000","281,000"
BALL,PL,Poland,2005,"10,466,000","705,000"
BALL,PL,Poland,2006,"11,711,000","870,000"
BALL,PL,Poland,2007,"12,146,000","893,000"
BALL,PL,Poland,2008,"14,866,000","1,035,000"
BALL,PL,Poland,2009,"11,888,000","985,000"
BALL,PL,Poland,2010,"13,221,000","3,429,000"
BALL,PL,Poland,2011,"14,223,000","2,780,000"
BALL,PL,Poland,2012,"16,419,000","2,817,000"
BALL,PL,Poland,2013,"15,154,000","3,580,000"
BALL,PL,Poland,2014,"19,968,000","3,888,000"
BALL,PL,Poland,2015,"19,805,000","6,850,000"
BALL,PT,Portugal,2000,"4,928,000","359,000"
BALL,PT,Portugal,2001,"4,529,000","246,000"
BALL,PT,Portugal,2002,"4,788,000","363,000"
BALL,PT,Portugal,2003,"5,413,000","282,000"
BALL,PT,Portugal,2004,"6,391,000","638,000"
BALL,PT,Portugal,2005,"5,756,000","547,000"
BALL,PT,Portugal,2006,"6,775,000","1,180,000"
BALL,PT,Portugal,2007,"6,654,000","359,000"
BALL,PT,Portugal,2008,"9,026,000","520,000"
BALL,PT,Portugal,2009,"7,649,000","1,094,000"
BALL,PT,Portugal,2010,"8,491,000","1,769,000"
BALL,PT,Portugal,2011,"7,674,000","2,103,000"
BALL,PT,Portugal,2012,"6,022,000","1,598,000"
BALL,PT,Portugal,2013,"5,662,000","2,621,000"
BALL,PT,Portugal,2014,"7,053,000","2,296,000"
BALL,PT,Portugal,2015,"6,222,000","1,979,000"
BALL,RO,Romania,2000,"1,130,000","13,000"
BALL,RO,Romania,2001,"1,295,000","14,000"
BALL,RO,Romania,2002,"1,251,000","13,000"
BALL,RO,Romania,2003,"1,412,000","32,000"
BALL,RO,Romania,2004,"2,117,000","33,000"
BALL,RO,Romania,2005,"2,388,000","11,000"
BALL,RO,Romania,2006,"4,103,000","57,000"
BALL,RO,Romania,2007,"4,418,000","12,000"
BALL,RO,Romania,2008,"7,575,000","228,000"
BALL,RO,Romania,2009,"2,918,000","57,000"
BALL,RO,Romania,2010,"4,119,000","228,000"
BALL,RO,Romania,2011,"3,253,000","41,000"
BALL,RO,Romania,2012,"3,784,000","51,000"
BALL,RO,Romania,2013,"3,901,000","85,000"
BALL,RO,Romania,2014,"4,030,000","43,000"
BALL,RO,Romania,2015,"4,780,000","45,000"
BALL,RS,Serbia,2000,,
BALL,RS,Serbia,2001,,
BALL,RS,Serbia,2002,,
BALL,RS,Serbia,2003,,
BALL,RS,Serbia,2004,,
BALL,RS,Serbia,2005,"1,533,000","27,000"
BALL,RS,Serbia,2006,"2,079,000","96,000"
BALL,RS,Serbia,2007,"2,929,000","101,000"
BALL,RS,Serbia,2008,"3,010,000","141,000"
BALL,RS,Serbia,2009,"1,894,000","56,000"
BALL,RS,Serbia,2010,"2,045,000","47,000"
BALL,RS,Serbia,2011,"2,162,000","58,000"
BALL,RS,Serbia,2012,"2,756,000","43,000"
BALL,RS,Serbia,2013,"1,980,000","74,000"
BALL,RS,Serbia,2014,,
BALL,RS,Serbia,2015,"2,625,000","51,000"
BALL,SE,Sweden,2000,"10,141,000","2,258,000"
BALL,SE,Sweden,2001,"8,885,000","2,624,000"
BALL,SE,Sweden,2002,"10,241,000","3,580,000"
BALL,SE,Sweden,2003,"9,718,000","4,557,000"
BALL,SE,Sweden,2004,"11,600,000","3,727,000"
BALL,SE,Sweden,2005,"9,863,000","4,297,000"
BALL,SE,Sweden,2006,"11,967,000","5,010,000"
BALL,SE,Sweden,2007,"11,327,000","3,562,000"
BALL,SE,Sweden,2008,"10,273,000","3,294,000"
BALL,SE,Sweden,2009,"10,040,000","3,429,000"
BALL,SE,Sweden,2010,"11,351,000","4,616,000"
BALL,SE,Sweden,2011,"12,124,000","4,610,000"
BALL,SE,Sweden,2012,"13,914,000","5,957,000"
BALL,SE,Sweden,2013,"13,260,000","7,417,000"
BALL,SE,Sweden,2014,"14,791,000","7,545,000"
BALL,SE,Sweden,2015,"16,600,000","8,204,000"
BALL,SI,Slovenia,2000,"1,423,000","37,000"
BALL,SI,Slovenia,2001,"1,496,000","52,000"
BALL,SI,Slovenia,2002,"1,746,000","91,000"
BALL,SI,Slovenia,2003,"1,374,000","72,000"
BALL,SI,Slovenia,2004,"1,521,000","136,000"
BALL,SI,Slovenia,2005,"1,503,000","293,000"
BALL,SI,Slovenia,2006,"1,822,000","403,000"
BALL,SI,Slovenia,2007,"2,334,000","1,242,000"
BALL,SI,Slovenia,2008,"4,312,000","1,065,000"
BALL,SI,Slovenia,2009,"2,051,000","856,000"
BALL,SI,Slovenia,2010,"2,982,000","963,000"
BALL,SI,Slovenia,2011,"2,477,000","692,000"
BALL,SI,Slovenia,2012,"3,718,000","825,000"
BALL,SI,Slovenia,2013,"2,721,000","592,000"
BALL,SI,Slovenia,2014,"2,305,000","727,000"
BALL,SI,Slovenia,2015,"2,614,000","1,025,000"
BALL,SK,Slovakia,2000,,
BALL,SK,Slovakia,2001,,
BALL,SK,Slovakia,2002,,
BALL,SK,Slovakia,2003,,
BALL,SK,Slovakia,2004,"1,479,000","9,000"
BALL,SK,Slovakia,2005,"1,823,000","30,000"
BALL,SK,Slovakia,2006,"2,615,000","240,000"
BALL,SK,Slovakia,2007,"2,169,000","185,000"
BALL,SK,Slovakia,2008,"3,262,000","622,000"
BALL,SK,Slovakia,2009,"3,079,000","852,000"
BALL,SK,Slovakia,2010,"3,393,000","1,758,000"
BALL,SK,Slovakia,2011,"3,150,000","1,522,000"
BALL,SK,Slovakia,2012,"3,558,000","1,629,000"
BALL,SK,Slovakia,2013,"3,242,000","2,370,000"
BALL,SK,Slovakia,2014,"3,701,000","3,037,000"
BALL,SK,Slovakia,2015,"3,441,000","2,170,000"
BALL,TR,Turkey,2000,"6,457,000","270,000"
BALL,TR,Turkey,2001,"4,362,000","342,000"
BALL,TR,Turkey,2002,"5,893,000","737,000"
BALL,TR,Turkey,2003,"5,626,000","321,000"
BALL,TR,Turkey,2004,"7,751,000","294,000"
BALL,TR,Turkey,2005,"11,190,000","218,000"
BALL,TR,Turkey,2006,"11,616,000","198,000"
BALL,TR,Turkey,2007,"10,737,000","234,000"
BALL,TR,Turkey,2008,"12,842,000","220,000"
BALL,TR,Turkey,2009,"11,577,000","224,000"
BALL,TR,Turkey,2010,"12,981,000","342,000"
BALL,TR,Turkey,2011,"15,489,000","347,000"
BALL,TR,Turkey,2012,"17,107,000","323,000"
BALL,TR,Turkey,2013,"22,645,000","598,000"
BALL,TR,Turkey,2014,,
BALL,TR,Turkey,2015,"15,672,000","533,000"
